MGS.Sample.ID,gini_simpson_index,inverse_simpson_index
BK1306923AB,0.933962272,15.14285884
BI5710323AB,0.951538973,20.63513826
BG8045623AB,0.902009065,10.20502564
BJ8848004AB,1,Inf
BL0415304AB,0.375039275,1.600100551
BJ9826623AB,0.754211678,4.068541547
BL0415823AB,0.438503156,1.780953912
BI2562623AB,0.852754493,6.791378688
BF9290723AB,0.748338408,3.973590058
BI2562404AB,0.418229053,1.718889547
BI5713423AB,0.839464354,6.229146143
BH8972904AB,0.548926261,2.216932428
BK3584723AB,0.662862632,2.966149991
BK1494323AB,0.741074684,3.862117518
BR2061323AB,0.328796855,1.48986191
BI5711223AB,0.943695899,17.76069578
BK2132723AB,0.834641856,6.047479578
BH8972723AB,0.736882858,3.800588555
BV6399823AB,0.888219732,8.946122782
BX6932523AB,0.885234751,8.713439019
BU6830623AB,0.95242306,21.01858568
BV0298923AB,0.918447825,12.2620886
BV1613623AB,0.936418183,15.72776698
BV1347523AB,0.918496439,12.26940252
BT8028623AB,0.909589073,11.06060992
BU9530123AB,0.847524771,6.558442347
BT8028423AB,0.927463967,13.78625151
BT7857623AB,0.913053109,11.50127386
BT7078923AB,0.947621303,19.09173125
BT7832923AB,0.835204718,6.06813489
BT7857523AB,0.963460507,27.36764864
BT7857423AB,0.906961704,10.74826221
BT7857723AB,0.792407572,4.817131382
BT1115523AB,1,Inf
BT0480923AB,0.899440147,9.944326438
BT0479704AB,0.841708868,6.317473281
BT7077723AB,0.955468275,22.4559009
BT1115323AB,0.810760975,5.284322297
BT0480223AB,0.916062089,11.91356789
BT0480023AB,0.891071108,9.180300815
BT0480523AB,0.951368392,20.56275844
BT0478923AB,0.857907597,7.03767395
BS7574823AB,0.794626689,4.869181869
BS7573623AB,0.898436323,9.846039758
BS7573823AB,0.946232589,18.59862658
BS7572423AB,0.684834616,3.172937292
BS7573723AB,0.975744396,41.22758539
BS7573523AB,0.642526508,2.797410222
BS7572823AB,0.849034132,6.624013848
BS7571723AB,0.399757809,1.665994186
BS7573423AB,0.893931745,9.427891462
BS7570823AB,0.660052444,2.941630212
BS7571623AB,0.820091653,5.558385794
BS7570623AB,0.893261384,9.36868057
BS7569704AB,0.755465586,4.08940396
BS7570723AB,0.934871963,15.3543703
BS7572723AB,0.114342888,1.129105142
BS7570423AB,0.754687142,4.076427167
BS7569504AB,0.848391575,6.595939523
BS7567923AB,0.733806288,3.756662745
BS6352723AB,0.916375621,11.95823533
BS6352523AB,0.739692188,3.841605797
BR3955323AB,0.966028076,29.43607163
BS3671023AB,0.768466929,4.319037439
BR3955823AB,0.970839496,34.29296026
BR3954723AB,0.952146557,20.89713788
BR3955123AB,0.94207426,17.26348245
BS7569404AB,0.764613942,4.248339981
BR3953823AB,0.876611874,8.104507589
BR3954523AB,0.847924254,6.575670511
BR3952204AB,0.864579874,7.384426717
BR3954423AB,0.940015614,16.67100503
BR3953623AB,0.577934853,2.36930248
BR3953923AB,0.894045137,9.437981117
BR3952304AB,0.843023515,6.370380907
BR3953723AB,0.797338131,4.934327329
BR3952004AB,0.886411214,8.803685944
BR3951123AB,0.630393728,2.705581795
BR3950923AB,0.669287879,3.023777891
BR2438123AB,0.932984414,14.92190188
BR3952923AB,0.824924984,5.711837248
BR3950823AB,0.82323986,5.657384055
BR3952104AB,0.827344673,5.791886152
BR2437323AB,0.946227545,18.59688202
BQ6053004AB,0.833627386,6.010604589
BQ6052823AB,0.913849477,11.60759056
